Cód. Grundfos;Cód. Prov.;Modelo;Descripción;Proveedor;Frecuencia;TP;Moneda TP;GRP;Moneda GRP;PL;Moneda PL;Familia;Tipo de Producto;Línea
116625;;"Eje para motor de 6"" de 25-50 etapas (SP 1A, 3A, 8A)";;Grundfos DK;;;;;;83,75;U$S;REPUESTOS;;
116626;;"Eje para motor de 6"" de 52 etapas (SP 3A, 5A)";;Grundfos DK;;;;;;87,5;U$S;REPUESTOS;;
116630;;"Eje para motor de 6"" de 30-60 etapas (SP 5A, 8A)";;Grundfos DK;;;;;;91,25;U$S;REPUESTOS;;
116637;;"Eje para motor de 6"" de 37 etapas (SP 8A)";;Grundfos DK;;;;;;111,25;U$S;REPUESTOS;;
116644;;"Eje para motor de 6"" de 44 etapas (SP 8A)";;Grundfos DK;;;;;;121,25;U$S;REPUESTOS;;
116650;;"Eje para motor de 6"" de 50 etapas (SP 8A)";;Grundfos DK;;;;;;130;U$S;REPUESTOS;;
120119;;Tuerca del cono (SP 17);;Grundfos DK;;;;;;5;U$S;REPUESTOS;;
120667;;Cono (SP 17);;Grundfos DK;;;;;;6,25;U$S;REPUESTOS;;
122508;;"Eje para motor de 6"" de 8 etapas (SP 17)";;Grundfos DK;;;;;;121,25;U$S;REPUESTOS;;
122509;;"Eje para motor de 6"" de 9 etapas (SP 17)";;Grundfos DK;;;;;;125;U$S;REPUESTOS;;
122510;;"Eje para motor de 6"" de 10 etapas (SP 17)";;Grundfos DK;;;;;;130;U$S;REPUESTOS;;
122511;;"Eje para motor de 6"" de 11 etapas (SP 17)";;Grundfos DK;;;;;;133,75;U$S;REPUESTOS;;
122512;;"Eje para motor de 6"" de 12 etapas (SP 17)";;Grundfos DK;;;;;;138,75;U$S;REPUESTOS;;
122513;;"Eje para motor de 6"" de 13 etapas (SP 17)";;Grundfos DK;;;;;;142,5;U$S;REPUESTOS;;
122514;;"Eje para motor de 6"" de 14 etapas (SP 17)";;Grundfos DK;;;;;;147,5;U$S;REPUESTOS;;
122515;;"Eje para motor de 6"" de 15 etapas (SP 17)";;Grundfos DK;;;;;;152,5;U$S;REPUESTOS;;
122516;;"Eje para motor de 6"" de 16 etapas (SP 17)";;Grundfos DK;;;;;;156,25;U$S;REPUESTOS;;
122517;;"Eje para motor de 6"" de 17 etapas (SP 17)";;Grundfos DK;;;;;;161,25;U$S;REPUESTOS;;
122518;;"Eje para motor de 6"" de 18 etapas (SP 17)";;Grundfos DK;;;;;;165;U$S;REPUESTOS;;
122519;;"Eje para motor de 6"" de 19 etapas (SP 17)";;Grundfos DK;;;;;;170;U$S;REPUESTOS;;
122520;;"Eje para motor de 6"" de 20 etapas (SP 17)";;Grundfos DK;;;;;;175;U$S;REPUESTOS;;
122521;;"Eje para motor de 6"" de 21 etapas (SP 17)";;Grundfos DK;;;;;;178,75;U$S;REPUESTOS;;
122522;;"Eje para motor de 6"" de 22 etapas (SP 17)";;Grundfos DK;;;;;;183,75;U$S;REPUESTOS;;
122523;;"Eje para motor de 6"" de 23 etapas (SP 17)";;Grundfos DK;;;;;;187,5;U$S;REPUESTOS;;
122524;;"Eje para motor de 6"" de 24 etapas (SP 17)";;Grundfos DK;;;;;;192,5;U$S;REPUESTOS;;
122525;;"Eje para motor de 6"" de 25 etapas (SP 17)";;Grundfos DK;;;;;;197,5;U$S;REPUESTOS;;
122526;;"Eje para motor de 6"" de 26 etapas (SP 17)";;Grundfos DK;;;;;;201,25;U$S;REPUESTOS;;
122527;;"Eje para motor de 6"" de 27 etapas (SP 17)";;Grundfos DK;;;;;;206,25;U$S;REPUESTOS;;
122528;;"Eje para motor de 6"" de 28 etapas (SP 17)";;Grundfos DK;;;;;;210;U$S;REPUESTOS;;
